gender,school,program,is_school_total,freshman_count,freshman_gpa,sophomore_count,sophomore_gpa,junior_count,junior_gpa,senior_count,senior_gpa,total_count,total_gpa
Total,Agricultural and Life Sciences,Agricultural and Life Sciences,True,475,3.239,890,3.367,952,3.361,1307,3.482,3624,3.389
Total,Agricultural and Life Sciences,Agricultural & Life Sciences,False,439,3.249,819,3.366,846,3.380,1167,3.509,3271,3.404
Total,Agricultural and Life Sciences,Agricultural Business Mgmt,False,9,3.254,,3.130,14,3.458,16,3.350,46,3.334
Total,Agricultural and Life Sciences,Biological Systems Engineering,False,13,2.858,28,3.450,48,3.167,76,3.024,165,3.126
Total,Agricultural and Life Sciences,Dietetics,False,14,3.303,36,3.361,44,3.190,48,3.615,142,3.382
Total,Business,Business,True,296,3.497,849,3.513,1128,3.465,1366,3.538,3639,3.506
Total,Business,Business Online,False,,,19,3.054,57,3.337,68,3.470,144,3.361
Total,Business,Business Undergraduate,False,296,3.497,830,3.520,1071,3.469,1298,3.540,3495,3.509
Total,Education,Education,True,398,3.540,574,3.555,668,3.660,782,3.706,2422,3.630
Total,Education,Art,False,39,3.629,51,3.713,67,3.712,93,3.670,250,3.684
Total,Education,Art Education,False,,,,2,12,3.536,13,3.733,27,3.649
Total,Education,Bachelor of Fine Arts,False,,,,,2,,18,3.913,20,3.920
Total,Education,Bachelor of Fine Arts - Dance,False,1,,,3,6,3.827,2,,12,3.841
Total,Education,Bachelor of Science - Dance,False,22,3.690,17,3.709,11,3.702,16,3.724,66,3.706
Total,Education,Educational Policy Studies,False,20,3.403,34,3.594,47,3.499,32,3.806,133,3.579
Total,Education,Elementary Education,False,,,,2,122,3.903,164,3.834,288,3.866
Total,Education,Health Promo and Health Equity,False,12,3.327,44,3.474,121,3.643,123,3.630,300,3.601
Total,Education,Kinesiology,False,,,,,102,3.600,206,3.661,308,3.641
Total,Education,Kines-Pre-Exer/Pre-Mtr Behvr,False,134,3.429,208,3.399,90,3.390,12,3.467,444,3.408
Total,Education,Phy Ed - Pre-Phy Ed Tchr Prep,False,5,,,2,,,,,7,3.511
Total,Education,Physical Education,False,,,,3.298,8,3.291,13,3.494,30,3.382
Total,Education,Pre-Art Education,False,8,3.671,,3.643,4,,,,21,3.674
Total,Education,Pre-ElemEdu Spec Edu,False,21,3.813,28,3.703,4,,,,53,3.753
Total,Education,Pre-Elementary Education,False,96,3.596,116,3.669,16,3.739,1,,229,3.640
Total,Education,Pre-Special Educ & Rehab Psy,False,8,3.727,,4,2,,,,14,3.680
Total,Education,Rehabilitation Psychology,False,24,3.548,32,3.668,29,3.714,57,3.749,142,3.689
Total,Education,Secondary Education,False,,,,,,,1,,1,
Total,Education,Special Education,False,,,,,7,3.731,14,3.766,21,3.753
Total,Education,Theatre & Drama,False,8,3.423,13,3.534,18,3.728,17,3.544,56,3.591
Total,Engineering,Engineering,True,541,3.274,1370,3.340,1259,3.360,2064,3.510,5234,3.404
Total,Engineering,Biomedical Engineering,False,80,3.336,211,3.373,166,3.399,248,3.641,705,3.470
Total,Engineering,Chemical Engineering,False,56,3.336,144,3.369,114,3.278,192,3.330,506,3.330
Total,Engineering,Civil & Environmental Engrg,False,32,3.173,89,3.338,91,3.291,155,3.467,367,3.368
Total,Engineering,Computer Engineering,False,42,3.278,131,3.394,138,3.421,247,3.546,558,3.457
Total,Engineering,Electrical Engineering,False,45,3.184,137,3.386,135,3.366,256,3.460,573,3.398
Total,Engineering,Engineering Mechanics,False,29,3.197,62,3.414,52,3.142,85,3.295,228,3.281
Total,Engineering,Engineering Physics,False,3,,20,3.375,13,3.568,18,3.597,54,3.505
Total,Engineering,Engineering Undecided,False,20,3.211,28,3.304,6,3.198,1,,55,3.271
Total,Engineering,Environmental Engineering,False,24,3.171,30,3.243,43,3.347,66,3.630,163,3.423
Total,Engineering,Geological Engineering,False,3,,,3,5,,11,3.641,22,3.494
Total,Engineering,Industrial Engineering,False,27,3.314,61,3.385,100,3.495,157,3.646,345,3.530
Total,Engineering,Materials Science and Engr,False,6,3.233,17,3.500,20,3.202,42,3.538,85,3.427
Total,Engineering,Mechanical Engineering,False,159,3.291,390,3.273,342,3.364,543,3.499,1434,3.381
Total,Engineering,Nuclear Engineering,False,15,3.271,47,3.293,34,3.263,43,3.439,139,3.325
Total,Engineering,University,False,,of,Wisconsin,,Madison,,,,,
Total,Human Ecology,Human Ecology,True,306,3.524,598,3.518,710,3.571,837,3.621,2451,3.568
Total,Human Ecology,Human Ecology,False,227,3.575,414,3.543,482,3.574,576,3.617,1699,3.580
Total,Human Ecology,Human Ecology Online,False,,,,,2,,9,3.786,11,3.813
