page,school,subject,is_course_total,course_num,section_num,grades_count,avg_gpa,A_pct,AB_pct,B_pct,BC_pct,C_pct,D_pct,F_pct,S_pct,U_pct,CR_pct,N_pct,P_pct,I_pct,NW_pct,NR_pct,other_pct,course_title
1,ALS,108 AAE,False,101,001,65,3.138,20.0,32.3,26.2,10.8,4.6,6.2,.,.,.,.,.,.,.,.,.,.,Intro to Ag & Applied Econ
1,ALS,108 AAE,False,244,001,55,3.375,45.5,14.5,14.5,5.5,14.5,.,.,.,.,.,.,.,.,3.6,1.8,.,Environment&Global Economy
1,ALS,108 AAE,False,267,001,22,3.750,77.3,4.5,13.6,.,4.5,.,.,.,.,.,.,.,.,.,.,.,Career Development
1,ALS,108 AAE,False,299,101,1,***,,,,,,,,,,.,.,.,.,.,.,.,Independent Study
1,ALS,108 AAE,False,306,001,4,***,,,,,,,,,,.,.,.,.,.,.,.,The Real Estate Process
1,ALS,108 AAE,False,306,003,1,***,,,,,,,,,,.,.,.,.,.,.,.,The Real Estate Process
1,ALS,108 AAE,False,306,007,1,***,,,,,,,,,,.,.,.,.,.,.,.,The Real Estate Process
1,ALS,108 AAE,True,306,Course,6,4.000,83.3,.,.,.,.,.,,16.7,.,,.,.,.,.,.,.,The Real Estate Process
1,ALS,108 AAE,False,320,001,28,3.786,75.0,14.3,7.1,.,3.6,.,.,.,.,.,.,.,.,.,.,.,Agricultural Systems Mgmt
1,ALS,108 AAE,False,335,001,175,3.636,68.6,13.7,5.7,2.9,1.7,1.1,2.9,3.4,.,.,.,.,.,.,.,.,Intro to Data Analysis
1,ALS,108 AAE,False,340,001,2,***,,,,,,,,,,.,.,.,.,.,.,.,Issues in Food Systems
1,ALS,108 AAE,False,352,001,81,3.259,32.1,27.2,19.8,9.9,8.6,1.2,1.2,.,.,.,.,.,.,.,.,.,Global Health: Econ & Policy
1,ALS,108 AAE,False,373,001,33,3.855,66.7,27.3,.,.,.,.,.,.,.,.,.,.,6.1,.,.,.,"Globalizatn, Poverty&Develpmnt"
1,ALS,108 AAE,False,375,001,18,4.000,100.0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Special Topics
