student_id,section_id,course_title,subject,course_num,section_num,credits,grade
8502,901,Skills for Business Analysis,231 GENBUS,106,001,3,CR
12613,901,Skills for Business Analysis,231 GENBUS,106,001,3,CR
11241,901,Skills for Business Analysis,231 GENBUS,106,001,3,CR
10182,901,Skills for Business Analysis,231 GENBUS,106,001,3,CR
6781,901,Skills for Business Analysis,231 GENBUS,106,001,3,CR
6104,901,Skills for Business Analysis,231 GENBUS,106,001,3,CR
12079,901,Skills for Business Analysis,231 GENBUS,106,001,3,CR
10202,901,Skills for Business Analysis,231 GENBUS,106,001,3,CR
11051,901,Skills for Business Analysis,231 GENBUS,106,001,3,CR
5826,901,Skills for Business Analysis,231 GENBUS,106,001,3,CR
12729,901,Skills for Business Analysis,231 GENBUS,106,001,3,CR
11865,901,Skills for Business Analysis,231 GENBUS,106,001,3,CR
7206,901,Skills for Business Analysis,231 GENBUS,106,001,3,CR
6961,901,Skills for Business Analysis,231 GENBUS,106,001,3,CR
6973,901,Skills for Business Analysis,231 GENBUS,106,001,3,CR
7940,901,Skills for Business Analysis,231 GENBUS,106,001,3,CR
9594,901,Skills for Business Analysis,231 GENBUS,106,001,3,CR
8951,901,Skills for Business Analysis,231 GENBUS,106,001,3,CR
7836,901,Skills for Business Analysis,231 GENBUS,106,001,3,CR
10287,901,Skills for Business Analysis,231 GENBUS,106,001,3,CR
6700,901,Skills for Business Analysis,231 GENBUS,106,001,3,CR
7843,901,Skills for Business Analysis,231 GENBUS,106,001,3,CR
8435,901,Skills for Business Analysis,231 GENBUS,106,001,3,CR
9118,901,Skills for Business Analysis,231 GENBUS,106,001,3,CR
11569,901,Skills for Business Analysis,231 GENBUS,106,001,3,CR
7103,901,Skills for Business Analysis,231 GENBUS,106,001,3,CR
9520,901,Skills for Business Analysis,231 GENBUS,106,001,3,CR
10131,901,Skills for Business Analysis,231 GENBUS,106,001,3,CR
6009,901,Skills for Business Analysis,231 GENBUS,106,001,3,CR
10253,901,Skills for Business Analysis,231 GENBUS,106,001,3,CR
6870,901,Skills for Business Analysis,231 GENBUS,106,001,3,CR
6160,901,Skills for Business Analysis,231 GENBUS,106,001,3,CR
12602,901,Skills for Business Analysis,231 GENBUS,106,001,3,CR
12704,901,Skills for Business Analysis,231 GENBUS,106,001,3,CR
11712,901,Skills for Business Analysis,231 GENBUS,106,001,3,CR
7943,901,Skills for Business Analysis,231 GENBUS,106,001,3,CR
6419,901,Skills for Business Analysis,231 GENBUS,106,001,3,CR
10862,901,Skills for Business Analysis,231 GENBUS,106,001,3,CR
8996,901,Skills for Business Analysis,231 GENBUS,106,001,3,CR
6614,901,Skills for Business Analysis,231 GENBUS,106,001,3,CR
9427,901,Skills for Business Analysis,231 GENBUS,106,001,3,CR
5913,901,Skills for Business Analysis,231 GENBUS,106,001,3,CR
12353,901,Skills for Business Analysis,231 GENBUS,106,001,3,CR
7577,901,Skills for Business Analysis,231 GENBUS,106,001,3,CR
10690,901,Skills for Business Analysis,231 GENBUS,106,001,3,CR
8000,901,Skills for Business Analysis,231 GENBUS,106,001,3,CR
9556,901,Skills for Business Analysis,231 GENBUS,106,001,3,CR
9769,901,Skills for Business Analysis,231 GENBUS,106,001,3,CR
6985,901,Skills for Business Analysis,231 GENBUS,106,001,3,CR
12727,901,Skills for Business Analysis,231 GENBUS,106,001,3,CR
11510,901,Skills for Business Analysis,231 GENBUS,106,001,3,CR
12544,901,Skills for Business Analysis,231 GENBUS,106,001,3,CR
12261,901,Skills for Business Analysis,231 GENBUS,106,001,3,CR
10176,901,Skills for Business Analysis,231 GENBUS,106,001,3,CR
12433,901,Skills for Business Analysis,231 GENBUS,106,001,3,CR
6346,901,Skills for Business Analysis,231 GENBUS,106,001,3,CR
7074,901,Skills for Business Analysis,231 GENBUS,106,001,3,CR
5999,901,Skills for Business Analysis,231 GENBUS,106,001,3,CR
8109,901,Skills for Business Analysis,231 GENBUS,106,001,3,CR
8615,901,Skills for Business Analysis,231 GENBUS,106,001,3,CR
7677,901,Skills for Business Analysis,231 GENBUS,106,001,3,CR
11841,901,Skills for Business Analysis,231 GENBUS,106,001,3,CR
8359,901,Skills for Business Analysis,231 GENBUS,106,001,3,CR
7753,901,Skills for Business Analysis,231 GENBUS,106,001,3,CR
9737,901,Skills for Business Analysis,231 GENBUS,106,001,3,CR
6707,901,Skills for Business Analysis,231 GENBUS,106,001,3,CR
11673,901,Skills for Business Analysis,231 GENBUS,106,001,3,CR
6236,901,Skills for Business Analysis,231 GENBUS,106,001,3,CR
12831,901,Skills for Business Analysis,231 GENBUS,106,001,3,CR
11492,901,Skills for Business Analysis,231 GENBUS,106,001,3,CR
7096,901,Skills for Business Analysis,231 GENBUS,106,001,3,CR
5744,901,Skills for Business Analysis,231 GENBUS,106,001,3,CR
11757,901,Skills for Business Analysis,231 GENBUS,106,001,3,CR
11042,901,Skills for Business Analysis,231 GENBUS,106,001,3,CR
11217,901,Skills for Business Analysis,231 GENBUS,106,001,3,CR
11486,901,Skills for Business Analysis,231 GENBUS,106,001,3,CR
6232,901,Skills for Business Analysis,231 GENBUS,106,001,3,CR
8372,901,Skills for Business Analysis,231 GENBUS,106,001,3,CR
6564,901,Skills for Business Analysis,231 GENBUS,106,001,3,CR
12060,901,Skills for Business Analysis,231 GENBUS,106,001,3,CR
10378,901,Skills for Business Analysis,231 GENBUS,106,001,3,CR
8153,901,Skills for Business Analysis,231 GENBUS,106,001,3,CR
6148,901,Skills for Business Analysis,231 GENBUS,106,001,3,CR
7995,901,Skills for Business Analysis,231 GENBUS,106,001,3,CR
8107,901,Skills for Business Analysis,231 GENBUS,106,001,3,CR
11222,901,Skills for Business Analysis,231 GENBUS,106,001,3,CR
10492,901,Skills for Business Analysis,231 GENBUS,106,001,3,CR
12213,901,Skills for Business Analysis,231 GENBUS,106,001,3,CR
9246,901,Skills for Business Analysis,231 GENBUS,106,001,3,CR
6595,901,Skills for Business Analysis,231 GENBUS,106,001,3,CR
11092,901,Skills for Business Analysis,231 GENBUS,106,001,3,CR
11429,901,Skills for Business Analysis,231 GENBUS,106,001,3,CR
9884,901,Skills for Business Analysis,231 GENBUS,106,001,3,CR
11484,901,Skills for Business Analysis,231 GENBUS,106,001,3,CR
9417,901,Skills for Business Analysis,231 GENBUS,106,001,3,CR
9578,901,Skills for Business Analysis,231 GENBUS,106,001,3,CR
8922,901,Skills for Business Analysis,231 GENBUS,106,001,3,CR
5849,901,Skills for Business Analysis,231 GENBUS,106,001,3,CR
6501,901,Skills for Business Analysis,231 GENBUS,106,001,3,CR
5889,901,Skills for Business Analysis,231 GENBUS,106,001,3,CR
10483,901,Skills for Business Analysis,231 GENBUS,106,001,3,CR
8021,901,Skills for Business Analysis,231 GENBUS,106,001,3,CR
9492,901,Skills for Business Analysis,231 GENBUS,106,001,3,CR
12342,901,Skills for Business Analysis,231 GENBUS,106,001,3,CR
7502,901,Skills for Business Analysis,231 GENBUS,106,001,3,CR
8789,901,Skills for Business Analysis,231 GENBUS,106,001,3,CR
11396,901,Skills for Business Analysis,231 GENBUS,106,001,3,CR
7338,901,Skills for Business Analysis,231 GENBUS,106,001,3,CR
6255,901,Skills for Business Analysis,231 GENBUS,106,001,3,CR
7824,901,Skills for Business Analysis,231 GENBUS,106,001,3,CR
6806,901,Skills for Business Analysis,231 GENBUS,106,001,3,CR
12482,901,Skills for Business Analysis,231 GENBUS,106,001,3,CR
11710,901,Skills for Business Analysis,231 GENBUS,106,001,3,CR
10459,901,Skills for Business Analysis,231 GENBUS,106,001,3,CR
12113,901,Skills for Business Analysis,231 GENBUS,106,001,3,CR
11682,901,Skills for Business Analysis,231 GENBUS,106,001,3,CR
6999,901,Skills for Business Analysis,231 GENBUS,106,001,3,CR
12247,901,Skills for Business Analysis,231 GENBUS,106,001,3,CR
9709,901,Skills for Business Analysis,231 GENBUS,106,001,3,CR
11706,901,Skills for Business Analysis,231 GENBUS,106,001,3,CR
12269,901,Skills for Business Analysis,231 GENBUS,106,001,3,CR
8050,901,Skills for Business Analysis,231 GENBUS,106,001,3,CR
6518,901,Skills for Business Analysis,231 GENBUS,106,001,3,CR
7331,901,Skills for Business Analysis,231 GENBUS,106,001,3,CR
8920,901,Skills for Business Analysis,231 GENBUS,106,001,3,CR
11773,901,Skills for Business Analysis,231 GENBUS,106,001,3,CR
12044,901,Skills for Business Analysis,231 GENBUS,106,001,3,CR
5751,901,Skills for Business Analysis,231 GENBUS,106,001,3,CR
9503,901,Skills for Business Analysis,231 GENBUS,106,001,3,CR
8845,901,Skills for Business Analysis,231 GENBUS,106,001,3,CR
7284,901,Skills for Business Analysis,231 GENBUS,106,001,3,CR
6597,901,Skills for Business Analysis,231 GENBUS,106,001,3,CR
8207,901,Skills for Business Analysis,231 GENBUS,106,001,3,CR
12566,901,Skills for Business Analysis,231 GENBUS,106,001,3,N
8092,901,Skills for Business Analysis,231 GENBUS,106,001,3,CR
9546,901,Skills for Business Analysis,231 GENBUS,106,001,3,CR
11011,901,Skills for Business Analysis,231 GENBUS,106,001,3,CR
8413,901,Skills for Business Analysis,231 GENBUS,106,001,3,CR
12740,901,Skills for Business Analysis,231 GENBUS,106,001,3,CR
12684,901,Skills for Business Analysis,231 GENBUS,106,001,3,CR
7522,901,Skills for Business Analysis,231 GENBUS,106,001,3,CR
9437,901,Skills for Business Analysis,231 GENBUS,106,001,3,CR
7912,901,Skills for Business Analysis,231 GENBUS,106,001,3,CR
7785,901,Skills for Business Analysis,231 GENBUS,106,001,3,CR
5933,901,Skills for Business Analysis,231 GENBUS,106,001,3,CR
10269,901,Skills for Business Analysis,231 GENBUS,106,001,3,CR
9463,901,Skills for Business Analysis,231 GENBUS,106,001,3,CR
6050,901,Skills for Business Analysis,231 GENBUS,106,001,3,CR
7735,901,Skills for Business Analysis,231 GENBUS,106,001,3,CR
12346,901,Skills for Business Analysis,231 GENBUS,106,001,3,CR
7424,901,Skills for Business Analysis,231 GENBUS,106,001,3,CR
6727,901,Skills for Business Analysis,231 GENBUS,106,001,3,CR
9383,901,Skills for Business Analysis,231 GENBUS,106,001,3,CR
12824,901,Skills for Business Analysis,231 GENBUS,106,001,3,CR
7444,901,Skills for Business Analysis,231 GENBUS,106,001,3,CR
10766,901,Skills for Business Analysis,231 GENBUS,106,001,3,CR
11434,901,Skills for Business Analysis,231 GENBUS,106,001,3,CR
7408,901,Skills for Business Analysis,231 GENBUS,106,001,3,CR
11211,901,Skills for Business Analysis,231 GENBUS,106,001,3,CR
8446,901,Skills for Business Analysis,231 GENBUS,106,001,3,CR
10450,901,Skills for Business Analysis,231 GENBUS,106,001,3,CR
10460,901,Skills for Business Analysis,231 GENBUS,106,001,3,CR
9681,901,Skills for Business Analysis,231 GENBUS,106,001,3,CR
6360,901,Skills for Business Analysis,231 GENBUS,106,001,3,CR
11883,901,Skills for Business Analysis,231 GENBUS,106,001,3,CR
8072,901,Skills for Business Analysis,231 GENBUS,106,001,3,CR
5964,901,Skills for Business Analysis,231 GENBUS,106,001,3,CR
10119,901,Skills for Business Analysis,231 GENBUS,106,001,3,CR
10809,901,Skills for Business Analysis,231 GENBUS,106,001,3,CR
5799,901,Skills for Business Analysis,231 GENBUS,106,001,3,CR
9509,901,Skills for Business Analysis,231 GENBUS,106,001,3,CR
7319,901,Skills for Business Analysis,231 GENBUS,106,001,3,CR
