student_id,student_level,academic_level,legal_sex,race_ethnicity,us_citizen,wi_residency,age_group,credits_enrolled,plan_school_college,academic_plan,term_admit_type,full_time_part_time,home_region_type,home_location,home_latitude,home_longitude,origin_institution_type,origin_institution_name,origin_institution_code,origin_institution_city,origin_institution_state
1,Undergraduate,Senior,Female,White,U.S. Citizen,Resident,22 to 29,17,Agricultural and Life Sciences,Wildlife Ecology BS,Continuing,Full Time,WI County,Eau Claire,44.7306,-91.286,N/A,N/A - Continuing/Graduate,N/A,N/A,N/A
2,Undergraduate,Senior,Female,Intl.,Non-Citizen,Non-Resident,18 to 21,12,Agricultural and Life Sciences,Wildlife Ecology BS,Continuing,Full Time,International,Afghanistan,34.023,65.5267,N/A,N/A - Continuing/Graduate,N/A,N/A,N/A
3,Undergraduate,Senior,Male,Intl.,Non-Citizen,Non-Resident,18 to 21,18,Agricultural and Life Sciences,Wildlife Ecology BS,Continuing,Full Time,International,India,22.741,78.236,N/A,N/A - Continuing/Graduate,N/A,N/A,N/A
4,Undergraduate,Senior,Female,White,U.S. Citizen,Resident,18 to 21,6,Agricultural and Life Sciences,Wildlife Ecology BS,First Time Undergraduate,Full Time,WI County,Brown,44.4646,-87.9779,High School,Mount Horeb High School,11605,Mount Horeb,Wisconsin
5,Undergraduate,Senior,Male,Intl.,Non-Citizen,Non-Resident,18 to 21,13,Agricultural and Life Sciences,Wildlife Ecology BS,First Time Undergraduate,Full Time,International,India,22.741,78.236,High School,Marquette University Hs,11569,Milwaukee,Wisconsin
6,Undergraduate,Senior,Male,Black,U.S. Citizen,Resident,18 to 21,12,Agricultural and Life Sciences,Wildlife Ecology BS,Continuing,Full Time,WI County,Dane,43.073,-89.4247,N/A,N/A - Continuing/Graduate,N/A,N/A,N/A
7,Undergraduate,Senior,Female,White,U.S. Citizen,Resident,22 to 29,14,Agricultural and Life Sciences,Wildlife Ecology BS,Continuing,Full Time,WI County,Waukesha,43.0181,-88.3044,N/A,N/A - Continuing/Graduate,N/A,N/A,N/A
8,Undergraduate,Senior,Female,White,U.S. Citizen,Non-Resident,18 to 21,13,Agricultural and Life Sciences,Wildlife Ecology BS,Continuing,Full Time,US State,California,37.25,-119.75,N/A,N/A - Continuing/Graduate,N/A,N/A,N/A
9,Undergraduate,Senior,Female,Hispanic,U.S. Citizen,Resident,18 to 21,12,Agricultural and Life Sciences,Wildlife Ecology BS,Continuing,Full Time,WI County,Waukesha,43.0181,-88.3044,N/A,N/A - Continuing/Graduate,N/A,N/A,N/A
10,Undergraduate,Senior,Male,White,U.S. Citizen,Non-Resident,18 to 21,16,Agricultural and Life Sciences,Wildlife Ecology BS,Continuing,Full Time,US State,Illinois,40.0,-89.25,N/A,N/A - Continuing/Graduate,N/A,N/A,N/A
11,Undergraduate,Senior,Female,White,U.S. Citizen,Resident,18 to 21,16,Agricultural and Life Sciences,Wildlife Ecology BS,Continuing,Full Time,WI County,Milwaukee,43.0178,-87.9818,N/A,N/A - Continuing/Graduate,N/A,N/A,N/A
12,Undergraduate,Senior,Female,White,U.S. Citizen,Resident,18 to 21,16,Agricultural and Life Sciences,Wildlife Ecology BS,Continuing,Full Time,WI County,Dane,43.073,-89.4247,N/A,N/A - Continuing/Graduate,N/A,N/A,N/A
13,Undergraduate,Senior,Female,Hispanic,U.S. Citizen,Resident,22 to 29,18,Agricultural and Life Sciences,Wildlife Ecology BS,Continuing,Full Time,WI County,Outagamie,44.419,-88.4637,N/A,N/A - Continuing/Graduate,N/A,N/A,N/A
14,Undergraduate,Senior,Female,White,U.S. Citizen,Resident,18 to 21,14,Agricultural and Life Sciences,Wildlife Ecology BS,Continuing,Part Time,WI County,Waukesha,43.0181,-88.3044,N/A,N/A - Continuing/Graduate,N/A,N/A,N/A
15,Undergraduate,Senior,Male,White,U.S. Citizen,Non-Resident,22 to 29,15,Agricultural and Life Sciences,Wildlife Ecology BS,Continuing,Full Time,US State,Washington,47.5,-120.5,N/A,N/A - Continuing/Graduate,N/A,N/A,N/A
16,Undergraduate,Senior,Male,Hispanic,U.S. Citizen,Resident,18 to 21,15,Agricultural and Life Sciences,Wildlife Ecology BS,Continuing,Full Time,WI County,St Croix,45.0351,-92.4543,N/A,N/A - Continuing/Graduate,N/A,N/A,N/A
17,Undergraduate,Senior,Female,White,U.S. Citizen,Non-Resident,18 to 21,16,Agricultural and Life Sciences,Wildlife Ecology BS,Continuing,Full Time,US State,New York,43.0,-75.49,N/A,N/A - Continuing/Graduate,N/A,N/A,N/A
18,Undergraduate,Senior,Female,White,U.S. Citizen,Resident,22 to 29,14,Agricultural and Life Sciences,Wildlife Ecology BS,Continuing,Part Time,WI County,Sheboygan,43.715,-87.9328,N/A,N/A - Continuing/Graduate,N/A,N/A,N/A
19,Undergraduate,Senior,Male,White,U.S. Citizen,Non-Resident,22 to 29,15,Agricultural and Life Sciences,Wildlife Ecology BS,Continuing,Full Time,US State,New York,43.0,-75.49,N/A,N/A - Continuing/Graduate,N/A,N/A,N/A
20,Undergraduate,Senior,Female,White,U.S. Citizen,Non-Resident,18 to 21,12,Agricultural and Life Sciences,Wildlife Ecology BS,Continuing,Full Time,US State,California,37.25,-119.75,N/A,N/A - Continuing/Graduate,N/A,N/A,N/A
21,Undergraduate,Senior,Female,White,U.S. Citizen,Non-Resident,18 to 21,18,Agricultural and Life Sciences,Wildlife Ecology BS,Continuing,Full Time,US State,Virginia,37.77,-78.24,N/A,N/A - Continuing/Graduate,N/A,N/A,N/A
22,Undergraduate,Senior,Female,White,U.S. Citizen,Resident,18 to 21,18,Agricultural and Life Sciences,Wildlife Ecology BS,Continuing,Full Time,WI County,Milwaukee,43.0178,-87.9818,N/A,N/A - Continuing/Graduate,N/A,N/A,N/A
23,Undergraduate,Senior,Male,White,U.S. Citizen,Resident,18 to 21,17,Agricultural and Life Sciences,Wildlife Ecology BS,Continuing,Full Time,WI County,Dane,43.073,-89.4247,N/A,N/A - Continuing/Graduate,N/A,N/A,N/A
24,Undergraduate,Senior,Female,Hispanic,U.S. Citizen,Resident,<18,13,Agricultural and Life Sciences,Wildlife Ecology BS,Continuing,Full Time,WI County,Rock,42.6692,-89.072,N/A,N/A - Continuing/Graduate,N/A,N/A,N/A
25,Undergraduate,Senior,Male,Asian,U.S. Citizen,Resident,18 to 21,3,Agricultural and Life Sciences,Wildlife Ecology BS,Continuing,Full Time,WI County,Dane,43.073,-89.4247,N/A,N/A - Continuing/Graduate,N/A,N/A,N/A
26,Undergraduate,Senior,Male,White,U.S. Citizen,Non-Resident,18 to 21,15,Agricultural and Life Sciences,Wildlife Ecology BS,Continuing,Full Time,US State,Minnesota,46.25,-94.25,N/A,N/A - Continuing/Graduate,N/A,N/A,N/A
27,Undergraduate,Senior,Male,2 or more races,U.S. Citizen,Resident,18 to 21,10,Agricultural and Life Sciences,Wildlife Ecology BS,First Time Undergraduate,Full Time,WI County,Walworth,42.6678,-88.5413,High School,Middleton High School,11554,Middleton,Wisconsin
28,Undergraduate,Senior,Female,White,U.S. Citizen,Resident,22 to 29,17,Agricultural and Life Sciences,Wildlife Ecology BS,First Time Undergraduate,Full Time,WI County,Brown,44.4646,-87.9779,High School,Appleton North High School,11485,Appleton,Wisconsin
